date      <=_0   Lo_30  Med_40   Hi_30   Lo_20   Qnt_2   Qnt_3   Qnt_4   Hi_20   Lo_10   Dec_2   Dec_3   Dec_4   Dec_5   Dec_6   Dec_7   Dec_8   Dec_9   Hi_10
197309   11.88    1.37    9.75    7.85   -0.15    9.60    9.22    9.86    6.66    1.78   -1.84    8.18   11.69    8.45   10.50    9.23   11.47    7.44    5.29
197310    0.25    0.99   -0.89   -2.20    1.01    1.15   -0.09   -2.74   -2.93   -0.80    2.65    0.89    1.51   -1.31    1.93   -3.80   -0.10   -3.86   -1.25
197311  -21.67  -11.02  -11.82  -11.88  -11.20  -11.58  -12.02  -11.42  -11.10  -12.11  -10.39  -10.28  -13.43  -11.21  -13.33  -10.30  -14.09  -12.68   -8.34
197312    0.69   -1.26    5.76    1.72   -1.83    2.31    6.82    4.33    1.67   -1.26   -2.32    1.08    4.11    6.20    7.83    5.32    1.86    1.99    1.14
197401    8.83   -2.24   -0.03    6.55   -1.89   -2.15   -1.95    4.14    6.37   -3.67   -0.34   -3.61   -0.08   -2.75   -0.65    3.02    7.06    6.55    6.07
197402    0.43   -0.75    0.86    1.59   -1.16    1.11   -0.48    2.78    0.94   -2.26   -0.24    0.93    1.35   -1.04    0.42    2.51    3.45    0.23    2.14
197403   -3.74   -1.67   -2.79   -2.35   -1.25   -3.42   -2.58   -2.45   -2.43   -1.05   -1.42   -3.34   -3.53   -3.27   -1.51   -2.57   -2.13   -1.58   -3.83
197404   -4.90   -3.50   -4.55   -6.43   -3.16   -4.82   -4.77   -4.07   -7.32   -4.32   -2.19   -4.90   -4.71   -4.12   -5.76   -4.11   -3.97   -5.58  -10.26
197405   -7.67   -1.89   -5.26   -3.45   -1.13   -5.69   -6.41   -3.14   -3.17    1.14   -2.99   -5.04   -6.57   -6.35   -6.50   -2.71   -4.21   -1.43   -6.28
197406   -5.28   -1.24   -1.57   -3.29   -1.29   -1.05   -2.43   -0.89   -3.97   -1.81   -0.85   -1.01   -1.11   -2.79   -1.86   -0.68   -1.43   -3.38   -5.08
197407   -8.72  -10.59   -3.88   -3.05  -11.03   -6.87   -3.27   -2.99   -3.74  -11.64  -10.67   -8.61   -5.02   -3.30   -3.23   -3.53   -1.94   -0.84   -6.02
197408  -10.13   -9.67   -8.36   -6.36   -9.39  -11.84  -10.29   -4.67   -6.29   -9.95   -9.05  -10.92  -12.78  -10.17  -10.45   -3.75   -6.46   -7.09   -5.63
